names,values_a,values_b
Elvina Padberg,522,7309
Octave Mann,3391,354
Barnard Tromp,638,3154
Alford Hintz,7706,7935
Clarence Runolfsson,4662,7320
Mr. Verlon Leuschke,2065,8874
Virgel Carroll,1893,320
Chimere Stanton,6918,5685
Luther Krajcik-Cummings,9525,1985
Conrad Welch,1875,4309
Emogene Ondricka-Stanton,27,989
Rashawn Abshire,2440,7557
Mrs. Lea Hermann,6170,5597
Dr. Blake Pouros PhD,7605,6815
Benton Sawayn-Paucek,7477,6589
Ximena Dibbert,5929,8995
Erika Labadie,6820,7129
Mr. Lena Paucek MD,4060,1184
Mrs. Florance Ward,2417,13
Orris Jerde,5353,445
Mr. Dondre Reynolds,1524,2342
Luanne Hilpert,6475,9296
Maxie White PhD,5178,6399
Katelynn Braun,4644,7563
Gayle Stokes,5113,9591
Dr. Jimmie Walsh DDS,8633,7424
Ellen O'Keefe,339,7084
Treyton Paucek,3920,850
Jammie Larkin,6959,6626
Gaige Murphy,525,4533
Shelba Rodriguez,1900,2545
Taina Kozey DDS,2569,9529
Carole Keebler,2189,866
Denzel VonRueden,9830,6965
Shelva Turner,4452,773
Carey Mraz,4305,8091
Flint Brakus,1959,7220
Everett Greenfelder,1079,940
Ms. Sheena Robel PhD,6250,9308
Mr. Sylvester Goyette I,9291,9341
Verdell Klein,1043,2925
Miss Valorie Hilpert DDS,5725,9053
Marty Volkman,2986,7727
Ms. Dayanara Cole,8027,2018
Imanol Turcotte,1994,9623
Mickie Terry,5430,9138
Mr. Moody Hills MD,9755,8170
Mrs. Raven Weimann,5164,6030
Mimi Hettinger,3934,8851
Dr. Arturo Littel MD,9059,5934
Bishop Oberbrunner,6172,2601
Camisha Durgan,2475,4970
Adalynn Dooley-Davis,9606,8819
Wende Ankunding,8360,8252
Alverda Bernier,9009,7135
Dr. Nicolas Nolan,6092,8099
Miss Donie Metz MD,4051,7141
Katherin Breitenberg-O'Hara,5157,5281
Dr. Amasa Mueller IV,8486,9351
Gregg Legros,7720,8574
Mr. Gale Purdy,6237,6653
Cari Franecki,1112,1694
Glenn Padberg PhD,2152,2342
Tiffanie West,7892,2782
Dr. Johney Huels,4406,581
Kristin Thiel,5967,7108
Myrl Cole,9340,2866
Anaya Bartoletti-Wunsch,7393,5607
Jabbar Cummerata,6946,7155
Rolland Hand V,267,2570
Jenniffer Marquardt,6688,8639
Felipe Kulas,6564,4877
Dr. Raquel Kris MD,627,7583
Dr. Ceasar Thompson III,1757,8897
Shante Leffler PhD,3243,5122
Deryl Dietrich,3356,2763
Irva Rolfson,8354,4247
Kiersten Robel,6809,1844
Samiyah Rogahn,5899,1150
Alphonsus Zieme,1575,2161
Leigh Heaney,9366,988
Renata Schuppe,5251,2493
Maximiliano Feest,5875,8775
Josue Bartoletti,3174,8163
Bettye Herzog DVM,1062,5501
Nathen Bashirian,5061,7775
Claude Kilback I,799,2306
Arline Powlowski,5116,9476
Felipa Collier,8870,1157
Dr. Clemon D'Amore Sr.,5096,5510
Romeo Leannon,4159,3571
Dr. Lissa Boyle,7157,9758
Dr. Manuel Kessler,6470,8820
Miss Shavon Veum,8404,2409
Stanley Schaden,7705,6524
Mr. Spurgeon Macejkovic,3645,3327
Christopher Mitchell,7655,3834
Bryson Kozey-Harber,4975,284
Mr. Jasiah Powlowski IV,4886,643
Dr. Griffith Walker,9556,4702
Ocie Block,6648,8195
Madison Ernser,824,892
Arlis Collins Sr.,3607,6240
Mya Schamberger,6086,1260
Shanika Kuhic-Brown,3154,2316
Shyanne Balistreri,1162,4343
Mr. Lukas Barton DVM,8983,8914
Miss Margarette Jast DVM,6319,5030
Wellington Hansen,1277,5863
Clearence Hamill DDS,1334,8440
Kathryn Pacocha,4594,6050
Sarrah Hettinger,8698,5527
Mrs. Dina Conn,2664,5588
Porsche Collier PhD,1898,2950
Sherry Cummerata,6711,3118
Clifford Dare,6599,349
Zina Pagac,6035,7866
Jedidiah Hudson,3592,5326
Davy Rogahn,9911,4294
Geovanni Stanton-Cummings,3199,5987
Dr. Veta VonRueden,5255,248
Blane Kertzmann,3467,7441
Mr. Kellan Gorczany,224,3549
Otho Wuckert-Kuhn,5988,3995
Infant Goodwin I,7699,2736
Lidia Abernathy,7999,7934
Clovis Huels,2155,1316
Crissie Armstrong MD,3236,4581
Albion Flatley,6254,100
Maia Romaguera,8605,6562
Mr. Ab Becker MD,5285,3904
Euphemia Wehner,8749,8103
Lucia Bosco MD,1949,8541
Jaime Harris-Tillman,1638,3086
Ashlie Prohaska PhD,1954,8534
Wilton Parisian,8712,6541
Roma Gerlach-Kub,3046,6595
Dr. Seymour Marks II,53,9133
Tyrone Muller,3627,284
Mrs. Pricilla Ondricka PhD,3039,7149
Josette Stiedemann,4509,3887
Rowan Rippin,4641,3957
Arvo Kshlerin,2673,8443
Faron Macejkovic,7618,4945
Wally Dickens IV,1739,7125
Miss Mai Gislason MD,834,8861
Kris Nienow I,6519,3829
Rob Frami,6324,9742
Blaise Abshire,9196,9052
Ricki King-Sawayn,9502,2628
Otho Feest-Rau,7018,3839
Evertt Barrows,6155,5591
Lena Buckridge,6508,8369
Carlisle White-Walter,2345,2469
Carson Stiedemann,4457,2766
Dr. Diallo Aufderhar,6333,9264
Dr. Johanna Lueilwitz PhD,8722,6752
Kyson Breitenberg,1394,3598
Nicholaus Kirlin,4772,6500
Daryle Rutherford-Ruecker,5797,291
Dr. Rogelio Lubowitz V,5012,7665
Emry Connelly,9908,4048
Dr. Webb Crona III,4306,327
Reginald Gibson,3208,6783
Kerrie Zboncak,1219,5117
Achsah Tillman,5018,949
Mazie Wilkinson,8147,1950
Ashby Rippin,7698,2328
Rena Toy,7502,6768
Darrien Powlowski PhD,2648,7504
Tyreese Smitham I,9854,6018
Theda Lind,487,9672
Gabrielle Muller DDS,4752,3769
Kacey Williamson DVM,9064,6467
Mintie Walter,2351,800
Gaylene Upton DDS,5976,2656
Dr. Genoveva Ullrich DVM,8329,9483
Maia Nienow,2619,7676
Ab Farrell-Spencer,4916,3441
Nina Breitenberg DVM,4311,4393
Venita Rempel,3017,9566
Dr. Jagger Quigley,4752,7760
Mathias Abernathy,7869,5731
Dr. Liston Cole,9078,4842
Annemarie Turcotte,8836,5871
Yadiel Baumbach,5725,3443
Bristol Ruecker,7324,9755
Violeta Huels-Macejkovic,3226,1174
Kent Rice,8174,6903
Dr. Pandora Kemmer DVM,1034,9306
Esequiel Bednar,4438,2496
Giovanna Welch-Berge,2917,1140
Dr. Tyreese Feeney I,4593,1993
Saint Crooks,5891,8211
Dr. Rachael Tremblay,7736,1153
Adriana Dickinson,195,2858
Baker Mills,4788,5929
York Nicolas III,1557,9875
Cathey Hane,2636,4654
Coralie Krajcik DVM,2251,3669
Aurelia Windler,1081,9323
Dr. Kathrine McLaughlin MD,5353,2042
Josiephine Altenwerth,8371,5660
Babyboy Gorczany,4279,4000
Emerald Purdy,9311,4909
Hanson Bechtelar-Thiel,5021,4745
Veola Rohan,5050,2550
Miss Kailee Murazik,2559,8220
Shelly Howe DDS,1534,6233
Rian Carroll,83,6933
Jacklyn Collins,6321,8011
Diamond Gutkowski,2034,4014
Freeman Reynolds,114,1092
Anatole McClure-Luettgen,7417,9930
Geri Hintz-Schinner,2034,9581
Britt Bashirian,7397,7181
Mrs. Lela Witting,9255,2723
Christen Armstrong PhD,8893,7222
Dr. Waldemar Reichel,3390,2947
Dilan Satterfield,1144,2792
Ms. Tresa Bartell,2287,5466
Evelynn Mohr,7568,3071
Brandt Flatley-Donnelly,5964,6531
Letha Leannon-Rau,1303,8743
Dr. Otho Kshlerin Jr.,2293,1422
Burnice Kilback,243,9281
Mrs. Adah Kautzer,1088,5191
Fleming Skiles,7684,2261
Dr. Durell Grant,1119,5905
Brittany Jacobi,8143,9448
Vernetta Gutmann,1557,2274
Dr. Rhianna Hickle DDS,5634,7415
Wyman Koelpin-Spencer,1697,3682
Marguerite Cormier,3320,7245
Charlotte Sporer-Hahn,9940,6259
Barrett Von,5898,2546
Daisy Paucek-Beier,2822,1136
Osa Welch,4548,4565
Dr. Zackary Tremblay,1946,6968
Rubi Okuneva,9364,6910
Jagger Stoltenberg,7752,983
Kennard Hintz,5635,8963
Rogelio Kohler,3943,1998
Erica Pfeffer,6290,6861
Addyson Kulas DDS,6182,286
Mr. Estes Bradtke V,1664,4866
Jacey Satterfield,2948,6160
Issac Turcotte,2027,4881
Dr. Owen Raynor MD,5258,4949
Kegan Runolfsdottir,7158,8050
Leif Bednar,7010,7356
Linnea Jacobi,4598,4171
Adrienne Pagac-Gorczany,7973,5160
Isamar Pouros,2946,4890
Wendel Adams,6866,4775
Evette Marks,875,5725
Rich Daniel DVM,4394,2155
Stephenie D'Amore,4556,5159
Deonta Kohler-Schiller,5365,1711
Lawyer Goyette,5395,1995
Brenda Jast-Wehner,9040,1698
Dr. Koen Corkery IV,6696,3018
Lashawn Waelchi,1372,1845
Cassie Sipes,8022,1033
Tyree Turner,318,690
Fannie Rowe,4229,9398
Luke Abshire,9567,5452
Mr. Alto Stracke,9680,2844
Dr. Attie Monahan PhD,9634,5393
Amina Schmeler PhD,2835,370
Calista Kassulke PhD,2846,3438
Deeann Hahn,1909,8140
Ms. Tameka Gulgowski,8693,2374
Ms. Twyla Moore,5820,938
Serenity Reynolds DDS,9906,4232
Dee Von-Bechtelar,1856,2810
Dr. Fern Labadie PhD,9627,7432
Camisha Herman,7699,6227
Ms. Elease Bayer,4709,9231
Wilhelmine Becker,6513,9350
Joselin Pagac,2610,1525
Shreya Predovic,9883,707
Chantelle Kovacek-Balistreri,4143,6313
Courtney Kihn MD,4860,4038
Miss Margarete Cormier DDS,503,9145
Dr. Tyrek Lueilwitz I,8648,7393
Nico Johnson PhD,1353,4939
Randell Schulist DVM,6489,3433
Kris Rippin,7141,8641
Garnett Gleason,6205,2610
Rosendo Kiehn,8455,8358
Dyan Kshlerin-Hintz,3503,9962
Amari Toy,6703,5969
Bayard Grant PhD,8791,3730
Afton Pagac,1083,4171
Mac Hilll,9761,1939
Rowan Hermann,9595,938
Macarthur Bartell-Keeling,8395,7270
Dr. Gustavus Dickens DVM,565,3589
Abril Leuschke,4517,850
May Dietrich,2774,9139
Bernadette Kerluke DDS,4153,4781
Heaven Kilback-Mitchell,9785,1216
Denisha Konopelski,8353,7144
Vernie Stracke,6359,8603
Deanne Connelly,7645,1841
Avery Gislason,248,4908
Mr. Mal Schimmel III,6196,1273
Noelia Wyman,6840,892
Dr. Kim Armstrong,5304,7258
Manilla Waters,5771,4132
Zain Bayer,4885,18
Shaquan Oberbrunner,9387,6793
Dale Nikolaus MD,23,4701
Natalee Cassin,1778,834
Dr. Randel Lueilwitz,4763,2552
Maida Lueilwitz,6586,557
Allan Barrows,8333,6286
Dr. Royal Franecki PhD,3208,692
Dolph Feest,7987,6080
Cris Wintheiser,5606,807
Dr. Chiquita Gutmann DVM,7683,834
Ms. Lilyana Spinka,5618,5654
Nicole Denesik,3013,1217
Haleigh Armstrong MD,2776,5517
Bria Trantow-Gaylord,3950,9056
Ms. Noelia Brakus DVM,4514,7934
Zeno Dickens,9634,6765
Mr. Melvyn Crist,5193,5504
Lilliana Gerlach,7682,6176
Neely Will,7076,5993
Aydin Bosco II,1784,3099
Cassius Nader-Hoeger,9709,9552
Summer Weimann,3254,8028
Rolland Kovacek-Stanton,6789,652
Nila Wyman,1355,4196
Consuela Dibbert,3621,1969
Maryellen Abernathy,6705,439
Paola Hilll,5365,6774
Bud Emmerich,5296,7615
Joaquin Mayert-Feest,5266,9054
Arie Feeney,4428,9445
Almira Metz DDS,6346,1216
Dr. Gus Stiedemann,8841,3007
Vina Walker PhD,9341,2890
Alexzander Hettinger,5303,3409
Jaylah White,6530,7590
Affie Lebsack,3860,3004
Nellie Rogahn,1791,7019
Corina Walsh,8843,5155
Albertus Mann-Wisozk,4956,972
Lexus Welch,3919,9510
Hamp Homenick,7285,2865
Lyndon Dickinson,5490,5593
Ansley Hamill,1602,4767
Aubrie Heaney MD,2520,3637
Vollie Christiansen,7154,6692
Linn Haley,5240,6443
Gus Dooley,3505,3755
Paulo Parisian,882,2203
Audrianna Smitham,7052,9209
Brian Kunde,4879,4387
Mr. Guy Cummerata III,6727,5077
Dr. Obed Farrell,1976,4850
Dr. Giancarlo Terry Jr.,8358,2718
Dr. Jamari Spinka Sr.,3513,6694
Leonard Gerlach,2505,1632
Jarad Lindgren,5855,7298
Demarion Padberg,8630,3633
Darion Kerluke,7870,2416
Kennth Harvey,6854,7389
Mrs. Margarette Muller PhD,5457,8231
Kaitlynn Sawayn,2178,136
Dr. Rudolf Runolfsdottir,8853,9110
Iver Ritchie-Powlowski,7416,356
Boyce Reichert,2799,745
Kristopher Lowe,1080,929
Miesha Gibson-Abshire,3472,7222
Hana Upton,8721,4042
Dorthea Corwin-Lindgren,7314,342
Keena Conroy,3050,5320
Abbott Feeney Sr.,9875,9089
Yazmin Schamberger,2572,6232
Mekhi Wiegand,755,6391
Curley Johns,7378,7158
Mr. Collins Fisher,7119,324
Evangeline Kertzmann-Ruecker,3605,4299
Clinton Purdy,322,685
Penni Bartoletti DVM,3359,1863
Jamel Waters-Mueller,4806,5725
Shanelle Pfannerstill PhD,3479,8780
Dr. Elle Hackett,6098,8831
Joseph Roberts,8714,9234
Elmira Medhurst,7730,3954
Mr. Sylas Bogan,2611,948
Greggory Rice,4714,834
Donie Erdman-Doyle,7942,2948
Kiefer Veum,4978,2316
Murry Rice,4859,2734
Orange Larson Jr.,1628,1821
Greyson Mohr,4917,8164
Landin Keebler,2863,6457
Carey Jerde DVM,3322,1895
Dr. Albin Ryan,351,35
Tammi Armstrong-Zemlak,6800,6726
Laron Thompson II,438,9997
Ogden Hudson,1524,9727
Elvera McClure,5904,5975
Ryleigh Luettgen,815,4085
Velma Leffler,688,2187
Shiela Stiedemann-Rowe,6102,6859
Mattie Baumbach,9192,4219
Grafton Lynch,8943,4198
Weldon Lueilwitz,6417,2320
Glenwood Lemke-Eichmann,5426,1230
Rueben Heller,4497,5456
Madalyn Cassin-Conn,2716,8100
Miss Mylie Eichmann,9196,4031
Sydnie Mohr MD,5385,9591
Dayle Crist,3041,8743
Ardell Becker,9736,3055
Lorelei Mueller,1706,4931
Leigh Kohler,7482,7987
Ema Eichmann,5780,9407
Emil Casper V,9355,6278
Mr. Coleman Kulas,9114,1261
Anne Rippin,4508,5549
Chasity Heller,6190,447
Ardyce Welch,1062,5115
Christen Ward,4604,2195
Sheryll Greenholt DDS,2885,4241
Abdiel Hettinger,6549,8878
Norwood Kuphal,6889,703
Alfredo Rippin,7268,8649
Dr. Goldie Borer,3807,7199
Ammon Powlowski,1842,3870
Marybeth Effertz MD,2030,6582
Lashonda Ankunding,7815,4157
Nathalie Gislason MD,4049,1825
Crete Lind,5892,7305
Mr. Warren Hegmann V,4428,4585
Adalberto Shanahan,482,4266
Ms. Cecilia Conroy,5845,8287
Alexander Legros,5362,3580
Yamilet O'Kon-Kuhn,8173,4967
Keira Fisher,5257,492
Cheryll Vandervort DVM,2820,9206
Claire Haley,6328,1316
Zaid Bode,6971,8537
Dr. Lilliana Mohr DVM,8886,8401
Encarnacion Altenwerth,1929,1287
Mrs. Ilona Dare PhD,9378,7874
Gage Kihn,7069,7568
Ingeborg King,2805,3264
Hildegarde Jacobi,5169,3763
Otha Dickinson,5791,7381
Mr. Taft Treutel DDS,9745,8565
Vlasta Schimmel,3956,1095
Ancel Schamberger,4996,7047
Mamie Ward,2412,9891
Dr. Frida Gleichner,4081,8218
Ms. Marilou Torphy PhD,617,2897
Ms. Agness Klein,6228,7720
Wendy Toy-Halvorson,7493,8510
Arvin Sauer,4231,1051
Mr. Devontae Erdman II,8051,2922
Beverly Weimann,9403,2620
Sammie Kessler,6389,5737
Dr. Hazle Blanda,6444,5296
Dave Kovacek,8762,4030
Rufus Spencer,1271,2874
